Date,EPS,PE,
04-04-2016,5.39,22.02,DLF
05-04-2016,5.39,21.03,DLF
06-04-2016,5.39,21.26,DLF
07-04-2016,5.39,21.07,DLF
08-04-2016,5.39,21.99,DLF
11-04-2016,5.39,22.38,DLF
12-04-2016,5.39,22.18,DLF
13-04-2016,5.39,22.63,DLF
18-04-2016,5.39,23.19,DLF
20-04-2016,5.39,23.07,DLF
21-04-2016,5.39,22.84,DLF
22-04-2016,5.39,22.72,DLF
25-04-2016,5.39,22.31,DLF
26-04-2016,5.39,23.04,DLF
27-04-2016,5.39,22.86,DLF
28-04-2016,5.39,23.33,DLF
29-04-2016,5.39,24.02,DLF
02-05-2016,5.39,23.87,DLF
03-05-2016,5.39,23.65,DLF
04-05-2016,5.39,22.36,DLF
05-05-2016,5.39,23.12,DLF
06-05-2016,5.39,23.3,DLF
09-05-2016,5.39,23.79,DLF
10-05-2016,5.39,23.7,DLF
11-05-2016,5.39,23.4,DLF
12-05-2016,5.39,23.69,DLF
13-05-2016,5.39,22.61,DLF
16-05-2016,5.39,23.08,DLF
17-05-2016,5.39,23.05,DLF
18-05-2016,5.39,23.67,DLF
19-05-2016,5.39,23.06,DLF
20-05-2016,5.39,22.8,DLF
23-05-2016,5.39,22.55,DLF
24-05-2016,5.39,22.33,DLF
25-05-2016,5.39,22.79,DLF
26-05-2016,5.39,23.74,DLF
27-05-2016,5.39,23.95,DLF
30-05-2016,5.39,23.45,DLF
31-05-2016,5.39,24.1,DLF
01-06-2016,5.39,24.63,DLF
02-06-2016,5.39,24.83,DLF
03-06-2016,5.39,24.51,DLF
06-06-2016,5.39,24.59,DLF
07-06-2016,5.39,25.08,DLF
08-06-2016,5.39,25.38,DLF
09-06-2016,5.39,25.25,DLF
10-06-2016,5.39,24.87,DLF
13-06-2016,5.39,24.22,DLF
14-06-2016,5.39,24.62,DLF
15-06-2016,5.39,24.62,DLF
16-06-2016,5.39,24.32,DLF
17-06-2016,5.39,24.96,DLF
20-06-2016,5.39,25.73,DLF
21-06-2016,5.39,25.61,DLF
22-06-2016,5.39,26.01,DLF
23-06-2016,5.39,25.64,DLF
24-06-2016,5.39,24.73,DLF
27-06-2016,5.39,24.99,DLF
28-06-2016,5.39,24.78,DLF
29-06-2016,5.39,26.72,DLF
30-06-2016,5.92,25.34,DLF
01-07-2016,5.92,25.56,DLF
04-07-2016,5.92,26.79,DLF
05-07-2016,5.92,26.48,DLF
07-07-2016,5.92,26.2,DLF
08-07-2016,5.92,26.11,DLF
11-07-2016,5.92,26.67,DLF
12-07-2016,5.92,27.18,DLF
13-07-2016,5.92,26.53,DLF
14-07-2016,5.92,26.43,DLF
15-07-2016,5.92,26.54,DLF
18-07-2016,5.92,26.05,DLF
19-07-2016,5.92,25.69,DLF
20-07-2016,5.92,26.64,DLF
21-07-2016,5.92,26.13,DLF
22-07-2016,5.92,26.83,DLF
25-07-2016,5.92,27.62,DLF
26-07-2016,5.92,27.08,DLF
27-07-2016,5.92,27.08,DLF
28-07-2016,5.92,27.34,DLF
29-07-2016,5.92,27.38,DLF
01-08-2016,5.92,27.26,DLF
02-08-2016,5.92,26.74,DLF
03-08-2016,5.92,26.15,DLF
